総合判定,台数判定,容量判定,名称判定,機器ID照合,判定理由,機器ID,機器表 記載名,盤表 記載名,機器表 台数,盤表 台数,台数差,機器表 消費電力(kW),機器表 モード容量(kW),機器表 判定モード,機器表 判定採用容量(kW),容量判定補足,盤表 容量(kW),容量差(kW),機器表 図面番号,盤表 図面番号,盤表 記載トレース
✗,✗,✗,✗,✗,盤表に記載なし,PAC-10-2,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.03,,単一値,0.03,単一数値を採用,,,M-03-04,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-10-3,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.03,,単一値,0.03,単一数値を採用,,,M-03-04,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-10-4,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.06,,単一値,0.06,単一数値を採用,,,M-03-04,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-10-5,空調機/空冷HPパッケージ/マルチタイプ,,2,0,-2,0.03,,単一値,0.03,単一数値を採用,,,M-03-04,,
✗,✗,◯,✗,◯,台数差分=1,PAC-11,空調機/空冷HPパッケージ/マルチタイプ,空調室外機,1,2,1,(冷)13.7 / (暖)13.3 / (低温)12.5,"冷=13.7,暖=13.3,低温=12.5",最大値(冷),13.7,機器名称からモード特定不可のため最大値を採用,13.7,0,M-03-05,"E-025,E-044",図面:E-025 名称:空調室外機 容量:13.7 || 図面:E-044 名称:空調室外機 容量:13.7
✗,✗,✗,✗,✗,盤表に記載なし,PAC-11-1,空調機/空冷HPパッケージ/マルチタイプ,,3,0,-3,0.06,,単一値,0.06,単一数値を採用,,,M-03-05,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-11-2,空調機/空冷HPパッケージ/マルチタイプ,,6,0,-6,0.03,,単一値,0.03,単一数値を採用,,,M-03-05,,
✗,✗,◯,✗,◯,台数差分=1,PAC-12,空調機/空冷HPパッケージ/マルチタイプ,空調室外機,1,2,1,(冷)10.6 / (暖)11.6 / (低温)10.8,"冷=10.6,暖=11.6,低温=10.8",最大値(暖),11.6,機器名称からモード特定不可のため最大値を採用,11.6,0,M-03-05,"E-025,E-044",図面:E-025 名称:空調室外機 容量:11.6 || 図面:E-044 名称:空調室外機 容量:11.6
✗,✗,✗,✗,✗,盤表に記載なし,PAC-12-1,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.06,,単一値,0.06,単一数値を採用,,,M-03-05,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-12-2,空調機/空冷HPパッケージ/マルチタイプ,,2,0,-2,0.03,,単一値,0.03,単一数値を採用,,,M-03-05,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-12-3,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.06,,単一値,0.06,単一数値を採用,,,M-03-05,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-12-4,空調機/空冷HPパッケージ/マルチタイプ,,2,0,-2,0.03,,単一値,0.03,単一数値を採用,,,M-03-05,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-12-5,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.07,,単一値,0.07,単一数値を採用,,,M-03-05,,
