総合判定,台数判定,容量判定,名称判定,機器ID照合,判定理由,機器ID,機器表 記載名,盤表 記載名,機器表 台数,盤表 台数,台数差,機器表 消費電力(kW),機器表 モード容量(kW),機器表 判定モード,機器表 判定採用容量(kW),容量判定補足,盤表 容量(kW),容量差(kW),機器表 図面番号,盤表 図面番号,盤表 記載トレース
✗,✗,◯,◯,◯,台数差分=1,EF-10-1,排風機,排風機,1,2,1,0.75,,単一値,0.75,単一数値を採用,0.75,0,M-03-01,"E-025,E-040",図面:E-025 名称:排風機 容量:0.75 || 図面:E-040 名称:排風機 容量:0.75
✗,✗,✗,✗,✗,盤表に記載なし,EF-11-1,排風機,,1,0,-1,0.0625,,単一値,0.0625,単一数値を採用,,,M-03-01,,
✗,✗,◯,◯,◯,台数差分=1,EF-R-1,排風機,排風機,1,2,1,1.5,,単一値,1.5,単一数値を採用,1.5,0,M-03-01,"E-025,E-044",図面:E-025 名称:排風機 容量:1.5 || 図面:E-044 名称:排風機 容量:1.5
要確認,✗,要確認,✗,◯,容量が複数候補,EF-R-2,排風機,"排風機,送風機",1,3,2,0.75,,単一値,0.75,単一数値を採用,"0.75,1.5",,M-03-01,"E-025,E-044",図面:E-025 名称:排風機 容量:0.75 || 図面:E-025 名称:送風機 容量:1.5 || 図面:E-044 名称:排風機 容量:0.75
✗,✗,◯,◯,◯,台数差分=1,F-EV-1,排風機,排風機,1,2,1,0.425,,単一値,0.425,単一数値を採用,0.425,0,M-03-01,"E-025,E-044",図面:E-025 名称:排風機 容量:0.425 || 図面:E-044 名称:排風機 容量:0.425
✗,✗,◯,◯,◯,台数差分=3,F-B1-1,排風機,排風機,3,6,3,2.2,,単一値,2.2,単一数値を採用,2.2,0,M-03-01,"E-024,E-033",図面:E-024 名称:排風機 容量:2.2 x3 || 図面:E-033 名称:排風機 容量:2.2 x3
✗,✗,✗,✗,✗,盤表に記載なし,F-B1-2,排風機,,1,0,-1,0.285,,単一値,0.285,単一数値を採用,,,M-03-01,,
✗,✗,✗,✗,✗,盤表に記載なし,F-B1-3,排風機,,1,0,-1,0.0625,,単一値,0.0625,単一数値を採用,,,M-03-01,,
✗,✗,✗,✗,✗,盤表に記載なし,F-1-1,排風機,,1,0,-1,0.078,,単一値,0.078,単一数値を採用,,,M-03-01,,
✗,✗,✗,✗,✗,盤表に記載なし,F-1-2,排風機,,2,0,-2,0.074,,単一値,0.074,単一数値を採用,,,M-03-01,,
✗,✗,✗,✗,✗,盤表に記載なし,F-1-3,排風機,,1,0,-1,0.0625,,単一値,0.0625,単一数値を採用,,,M-03-01,,
✗,✗,✗,✗,✗,盤表に記載なし,F-1-4,排風機,,1,0,-1,0.0625,,単一値,0.0625,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,F-2-1,排風機,,1,0,-1,0.078,,単一値,0.078,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,F-2-2,排風機,,1,0,-1,0.0832,,単一値,0.0832,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,F-11-1,排風機,,1,0,-1,0.0625,,単一値,0.0625,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,F-11-2,排風機,,1,0,-1,0.2,,単一値,0.2,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-B2-1,全熱交換機,,1,0,-1,0.075,,単一値,0.075,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-B1-1,全熱交換機,,1,0,-1,0.075,,単一値,0.075,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-B1-2,全熱交換機,,1,0,-1,0.075,,単一値,0.075,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-1-1,全熱交換機,,1,0,-1,0.145,,単一値,0.145,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-1-2,全熱交換機,,2,0,-2,0.42,,単一値,0.42,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-1-3,全熱交換機,,1,0,-1,0.42,,単一値,0.42,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-1-4,全熱交換機,,1,0,-1,0.075,,単一値,0.075,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-2-1,全熱交換機,,1,0,-1,0.145,,単一値,0.145,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-2-2,全熱交換機,,1,0,-1,0.355,,単一値,0.355,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-2-3,全熱交換機,,1,0,-1,0.145,,単一値,0.145,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-2-4,全熱交換機,,1,0,-1,0.355,,単一値,0.355,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-11-1,全熱交換機,,1,0,-1,0.56,,単一値,0.56,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,BOF-B2-1,ブースターファン,,1,0,-1,0.175,,単一値,0.175,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,BOF-B1-1,ブースターファン,,1,0,-1,0.175,,単一値,0.175,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,BOF-B1-2,ブースターファン,,1,0,-1,0.175,,単一値,0.175,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,BEF-B2-1,ブースターファン,,1,0,-1,0.0625,,単一値,0.0625,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,BEF-B1-1,ブースターファン,,1,0,-1,0.0625,,単一値,0.0625,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,BEF-B1-2,ブースターファン,,1,0,-1,0.0625,,単一値,0.0625,単一数値を採用,,,M-03-02,,
✗,✗,◯,◯,◯,台数差分=1,DF-R-1,臭突ファン,臭突ファン,1,2,1,0.4,,単一値,0.4,単一数値を採用,0.4,0,M-03-02,"E-025,E-044",図面:E-025 名称:臭突ファン 容量:0.4 || 図面:E-044 名称:臭突ファン 容量:0.4
✗,✗,✗,✗,✗,盤表に記載なし,SMF-1,排煙機,,1,0,-1,7.5,,単一値,7.5,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,SMF-2,排煙機,,1,0,-1,5.5,,単一値,5.5,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-3～6-1,定風量装置,,4,0,-4,10VA,,未確定,,数値化できない表記,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-7-1,(OA),,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-8-1,,,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-2-1,定風量装置,,1,0,-1,10VA,,未確定,,数値化できない表記,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-9-1,(OA),,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-10-1,,,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-11～15-1,,,5,0,-5,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-16-1,,,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-3～6-2,定風量装置,,4,0,-4,10VA,,未確定,,数値化できない表記,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-7-2,(EA),,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-8-2,,,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-9-2,,,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-10-2,,,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-11～15-2,,,5,0,-5,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-16-2,,,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-2-2,定風量装置,,1,0,-1,10VA,,未確定,,数値化できない表記,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-3～6-3,(EA),,4,0,-4,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-7-3,,,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-8-3,,,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-9-3,,,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,CAV-10-3,,,1,0,-1,,,,,,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,OS-1,脱臭装置,,1,0,-1,0.15,,単一値,0.15,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,OS-2,脱臭装置,,1,0,-1,0.026,,単一値,0.026,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,OS-3,脱臭装置,,1,0,-1,0.008,,単一値,0.008,単一数値を採用,,,M-03-02,,
✗,✗,✗,✗,✗,盤表に記載なし,AH-1,エア搬送ファン,,7,0,-7,0.11,,単一値,0.11,単一数値を採用,,,M-03-02,,
✗,✗,◯,✗,◯,台数差分=1,PAC-1,空調機/空冷HPパッケージ/マルチタイプ/(冷房専用),空調室外機,1,2,1,(冷)9.45 / (暖)7.18 / (低温)9.43,"冷=9.45,暖=7.18,低温=9.43",冷,9.45,機器名称ヒント(冷房専用)で(冷)を採用,9.45,0,M-03-03,"E-025,E-035",図面:E-025 名称:空調室外機 容量:9.45 || 図面:E-035 名称:空調室外機 容量:9.45
✗,✗,✗,✗,✗,盤表に記載なし,PAC-1-1,空調機/空冷HPパッケージ/マルチタイプ/(冷房専用),,2,0,-2,0.04,,単一値,0.04,単一数値を採用,,,M-03-03,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-1-2,空調機/空冷HPパッケージ/マルチタイプ/(冷房専用),,1,0,-1,0.02,,単一値,0.02,単一数値を採用,,,M-03-03,,
✗,✗,✗,✗,◯,台数差分=1,PAC-2,空調機/空冷HPパッケージ/マルチタイプ,空調室外機,1,2,1,(冷)3.93 / (暖)4.05 / (低温)5.32,"冷=3.93,暖=4.05,低温=5.32",最大値(低温),5.32,機器名称からモード特定不可のため最大値を採用,6.63,1.31,M-03-03,"E-025,E-035",図面:E-025 名称:空調室外機 容量:6.63 || 図面:E-035 名称:空調室外機 容量:6.63
✗,✗,✗,✗,✗,盤表に記載なし,PAC-2-1,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.02,,単一値,0.02,単一数値を採用,,,M-03-03,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-2-2,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.07,,単一値,0.07,単一数値を採用,,,M-03-03,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-2-3,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.02,,単一値,0.02,単一数値を採用,,,M-03-03,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-2-4,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.02,,単一値,0.02,単一数値を採用,,,M-03-03,,
